country,amount,country_en,lon,lat
ไต้หวัน,37621,Taiwan,120.960515,23.69781
สาธารณรัฐเกาหลี,13358,South Korea,126.978,37.5665
รัฐอิสราเอล,10541,Israel,34.8516,31.0461
ญี่ปุ่น,5311,Japan,139.6917,35.6895
สาธารณรัฐสิงคโปร์,1834,Singapore,103.8198,1.3521
ฮ่องกง,888,Hong Kong,114.1694,22.3193
มาเลเซีย,831,Malaysia,112.821493767977,4.776791466922340
ฮังการี,689,Hungary,19.58067647058820,47.22728235294120
แคนาดา,531,Canada,-106.3468,56.1304
สหรัฐอาหรับเอมิเรตส์,488,United Arab Emirates,53.8478,23.4241
สาธารณรัฐโปรตุเกส,476,Portugal,-8.2245,39.3999
ไอร์แลนด์,308,Ireland,-8.2439,53.4129
เนการาบรูไนดารุสซาลาม,297,Brunei,114.7277,4.5353
สหรัฐอเมริกา,283,United States,-95.7129,37.0902
สาธารณรัฐประชาธิปไตยประชาชนลาว,160,Laos,102.4955,19.8563
นิวซีแลนด์,157,New Zealand,174.886,-40.9006
รัฐคูเวต,149,Kuwait,47.90320000000000,29.592478000000000
สาธารณรัฐโปแลนด์,147,Poland,19.1451,51.9194
รัฐกาตาร์,141,Qatar,51.1839,25.3548
ราชอาณาจักรเดนมาร์ก,121,Denmark,9.5018,56.2639
ราชอาณาจักรบาห์เรน,114,Bahrain,50.5577,26.0667
สาธารณรัฐเช็ค,112,Czech Republic,15.473,49.8175
สาธารณรัฐอุซเบกิสถาน,101,Uzbekistan,65.85205217391310,40.9148820652174
ราชอาณาจักรฮัชไมต์จอร์แดน,101,Jordan,36.72429069767440,31.37407674418610
สหพันธ์สาธารณรัฐเยอรมนี,100,Germany,10.4515,51.1657
ราชอาณาจักรซาอุดีอาระเบีย,98,Saudi Arabia,40.257449783924,23.31570674157300
สหพันธรัฐรัสเซีย,82,Russia,105.3188,61.524
สมาพันธรัฐสวิส,82,Switzerland,8.2275,46.8182
มาเก๊า,71,Macau,113.5439,22.1987
อังกฤษ,70,England,-1.1743,52.3555
สาธารณรัฐอินเดีย,61,India,80.00118816717020,18.83664199395780
สาธารณรัฐอินโดนีเซีย,54,Indonesia,120.85560963878300,-2.633930931558930
สาธารณรัฐเซาท์ซูดาน,52,South Sudan,30.473944366197200,7.655202112676060
ราชอาณาจักรสเปน,50,Spain,-3.7492,40.4637
สาธารณรัฐคาซัคสถาน,50,Kazakhstan,62.32251061285510,47.53857443946180
สาธารณรัฐตุรกี,46,Turkey,35.2433,38.9637
สาธารณรัฐมาดากัสการ์,45,Madagascar,46.8691,-18.7669
รัฐสุลต่านโอมาน,44,Oman,55.9233,21.5126
สาธารณรัฐไซปรัส,39,Cyprus,33.4299,35.1264
สาธารณรัฐฟินแลนด์,39,Finland,25.7482,61.9241
สาธารณรัฐประชาชนบังกลาเทศ,37,Bangladesh,90.43435789022280,23.09547478559180
สาธารณรัฐฟิลิปปินส์,26,Philippines,121.774,12.8797
สาธารณรัฐโมซัมบิก,21,Mozambique,35.5296,-18.6657
ราชอาณาจักรภูฏาน,21,Bhutan,90.56082,27.36017333333330
ราชอาณาจักรโมร็อกโก,19,Morocco,-6.978154411764710,31.494315441176500
สาธารณรัฐฝรั่งเศส,19,France,1.8883,46.6034
สหราชอาณาจักรเกรตบริเทน และนอร์เทิร์นไอร์แลนด์,17,United Kingdom,-3.436,55.3781
สาธารณรัฐโครเอเชีย,15,Croatia,15.695607462686600,44.073586993603400
สาธารณรัฐสโลวีเนีย,13,Slovenia,14.9955,46.1512
เบอร์มิวดา,13,Bermuda,-64.7505,32.3078
สาธารณรัฐสโลวัก,11,Slovakia,19.690078181818200,48.73422727272730
สาธารณรัฐสังคมนิยมเวียดนาม,11,Vietnam,108.2772,14.0583
สาธารณรัฐมัลดีฟส์,11,Maldives,73.2207,3.2028
สาธารณรัฐมอลตา,11,Malta,14.3754,35.9375
สาธารณรัฐปานามา,11,Panama,-80.7821,8.538
ราชอาณาจักรสวีเดน,10,Sweden,18.6435,60.1282
สาธารณรัฐอิตาลี,10,Italy,12.5674,41.8719
สาธารณรัฐโคลอมเบีย,10,Colombia,-75.64641308243720,4.947646415770610
รัฐเอกราชปาปัวนิวกินี,10,Papua New Guinea,143.9555,-6.314993
สาธารณรัฐหมู่เกาะมาร์แชลล์,9,Marshall Islands,171.1845,7.1315
สาธารณรัฐเซอร์เบีย,8,Serbia,21.0059,44.0165
สาธารณรัฐเซาท์แอฟริกา,8,South Africa,22.9375,-30.5595
สาธารณรัฐประชาชนจีน,8,สาธารณรัฐประชาชนจีน,104.1954,35.8617
สาธารณรัฐเลบานอน,7,Lebanon,35.78662000000000,33.832345
เครือรัฐออสเตรเลีย,7,Australia,133.7751,-25.2744
สาธารณรัฐเซเซลส์,7,Seychelles,55.492,-4.6796
สาธารณรัฐอาหรับอียิปต์,7,Egypt,30.8025,26.8206
กรีนแลนด์,6,Greenland,-42.6043,71.7069
หมู่เกาะนอร์เทิร์นมาเรียนา (ไซปัน),6,Northern Mariana Islands,145.6739,15.0979
สาธารณรัฐแห่งสหภาพเมียนมา,6,Myanmar,96.2338372541604,16.05802507564300
หมู่เกาะเคย์แมน,5,Cayman Islands,-81.2546,19.3133
ราชอาณาจักรนอร์เวย์,5,Norway,8.4689,60.472
ราชอาณาจักรเนเธอร์แลนด์,5,Netherlands,5.2913,52.1326
สาธารณรัฐไอซ์แลนด์,4,Iceland,-19.0208,64.9631
เครือรัฐบาฮามาส,4,Bahamas,-77.3963,25.0343
สาธารณรัฐเอสโตเนีย,4,Estonia,25.0136,58.5953
สาธารณรัฐแลตเวีย,3,Latvia,24.6032,56.8796
สาธารณรัฐแอลเบเนีย,3,Albania,19.996978947368400,41.05111315789470
สหพันธ์สาธารณรัฐไนจีเรีย,3,Nigeria,8.13040860215054,8.51365698924731
สาธารณรัฐอิสลามปากีสถาน,3,Pakistan,67.53515364372470,26.98438016194330
สาธารณรัฐอาเซอร์ไบจาน,3,Azerbaijan,48.08169084507040,40.05135492957750
สาธารณรัฐเบลารุส,2,Belarus,27.916470634920600,53.48657936507940
สาธารณรัฐเซเนกัล,2,Senegal,-14.892768539325800,14.094600000000000
สาธารณรัฐรวันดา,2,Rwanda,29.943592,-2.0026840000000000
ราชรัฐโมนาโก,2,Monaco,7.4246,43.7384
โรมาเนีย,2,Romania,25.522588793103400,45.70724482758620
สาธารณรัฐคองโก,2,Congo,21.7587,-4.0383
สาธารณรัฐคอซอวอ,2,Kosovo,20.903,42.6026
สาธารณรัฐซูดาน,2,Sudan,32.84537563025210,15.093027731092400
สาธารณรัฐนามิเบีย,2,Namibia,18.4904,-22.9576
เฟรนช์พอลินีเชีย,1,French Polynesia,-149.4068,-17.6797
รัฐลิเบีย,1,Libya,16.470473793103500,29.43132275862070
สาธารณรัฐมาซิโดเนียเหนือ,1,North Macedonia,21.722479310344800,41.602413793103400
ราชอาณาจักรเบลเยียม,1,Belgium,4.4699,50.5039
สกอตแลนด์,1,Scotland,-4.2026,56.4907
สหพันธ์สาธารณรัฐบราซิล,1,Brazil,-47.74727609312890,-8.673506871095990
สหพันธ์สาธารณรัฐประชาธิปไตยเนปาล,1,Nepal,84.13417375000000,28.2297025
สหรัฐเม็กซิโก,1,Mexico,-103.22757400703900,24.22513056812470
สหสาธารณรัฐแทนซาเนีย,1,Tanzania,34.8888,-6.369
สาธารณรัฐกานา,1,Ghana,-1.0232,7.9465
สาธารณรัฐประชาธิปไตยประชาชนแอลจีเรีย,1,Algeria,1.6596,28.0339
สาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา,1,Sri Lanka,80.7718,7.8731
สาธารณรัฐแกมเบีย,1,Gambia,-15.3101,13.4432
